City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
124,pangody,65.85,74.4859,-16.18,97,100,2.41,RU,1707074169
125,boa vista,2.8197,-60.6733,35.99,30,40,5.14,BR,1707073635
126,aqaba,29.5267,35.0078,15.92,29,0,2.06,JO,1707074169
127,selfoss,63.9331,-20.9971,-13.31,83,4,3.85,IS,1707074170
128,salina cruz,16.1667,-95.2,29.32,56,7,3.04,MX,1707073984
129,ouallam,14.3188,2.0866,24.48,10,6,5.14,NE,1707074170
130,port isabel,26.0734,-97.2086,27.05,20,0,8.75,US,1707074100
131,kisangani,0.5167,25.2,27.08,38,42,1.01,CD,1707074170
132,monte alegre,-2.0078,-54.0692,31.65,55,92,3.12,BR,1707074170
133,qal'ah-ye shahr,35.5473,65.5676,-8.04,67,0,4.38,AF,1707074171
134,cadale,2.7603,46.3222,26.07,80,100,9.93,SO,1707074171
135,jamestown,42.097,-79.2353,6.8,39,0,3.09,US,1707073900
136,roxas,11.5853,122.7511,24.52,89,39,4.8,PH,1707074171
137,al ghayzah,16.2079,52.176,24.28,63,6,2.63,YE,1707074171
138,santa ana,33.7456,-117.8678,16.92,66,75,5.14,US,1707073997
139,tadine,-21.55,167.8833,26.22,89,100,7.99,NC,1707074172
140,recani,31.2846,-4.2688,13.12,34,46,2.68,MA,1707074172
141,conception bay south,47.4999,-52.9981,1.53,97,100,10.09,CA,1707074172
142,timbuktu,16.7735,-3.0074,23.23,7,14,5.43,ML,1707074172
143,bardai,11.65,7.2333,21.54,15,100,4.69,NG,1707074172
144,la ronge,55.1001,-105.2842,-7.86,62,75,2.06,CA,1707074172
145,leticia,-4.2153,-69.9406,26.03,94,20,3.6,CO,1707074173
146,kirakira,-10.4544,161.9205,26.56,88,55,4.05,SB,1707074173
147,puerto santa,-8.9906,-78.6456,26.55,71,100,4.27,PE,1707074177
148,tarawa,1.419,172.984,29.05,84,75,3.6,KI,1707074177
149,luderitz,-26.6481,15.1594,19.78,83,4,4.16,NA,1707074178
150,salalah,17.0151,54.0924,25.05,61,0,1.54,OM,1707074178
151,port mathurin,-19.6833,63.4167,26.21,72,69,6.99,MU,1707074178
152,freetown,8.484,-13.2299,27.84,69,40,4.12,SL,1707074178
153,kangasala,61.4638,24.076,-1.21,80,97,4.01,FI,1707074178
154,bilibino,68.0546,166.4372,-31.43,82,8,2.42,RU,1707074178
155,quellon,-43.1167,-73.6167,19.22,47,0,0.78,CL,1707074179
